Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
sandwich,0,20,20,134,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.1970005999901332,0.19718839999404736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
pear,0,21,21,114,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.19731689998297952,0.19745419998071156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
salt,0,22,22,133,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.19758740000543185,0.1977150999882724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
purse,0,23,23,125,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.1978285999794025,0.1979603999934625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
hand,0,24,24,71,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.19806669998797588,0.19823360000737011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
key,0,25,25,82,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.1983397000003606,0.1984840999939479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
cloud,0,26,26,35,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.19859260000521317,0.19872580000082962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
penguin,0,27,27,116,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.19882600000710227,0.1989369000075385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
cannon,0,28,28,26,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.1990360000054352,0.19914839998818934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
necklace,0,29,29,103,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.19925350000266917,0.19941010000184178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
